ANO_LETIVO;CODIGO_CIE;CODIGO_INEP;CodigoDiretoria;NomeDiretoria;NomeEscola;NomeMunicipio;ANOS_INICIAIS;ANOS_FINAIS;ENSINO_MÉDIO
2021;13626;35013626;20205;SAO JOSE DOS CAMPOS;OLIMPIO CATAO;SAO JOSE DOS CAMPOS;;4,29;
2021;13638;35013638;20205;SAO JOSE DOS CAMPOS;FRANCISCO JOAO LEME;SAO JOSE DOS CAMPOS;4,47;3,63;
2021;13648;35013648;20205;SAO JOSE DOS CAMPOS;YOSHIYA TAKAOKA;SAO JOSE DOS CAMPOS;;2,72;2,23
2021;13651;35013651;20205;SAO JOSE DOS CAMPOS;SANT ANA DO PARAIBA;SAO JOSE DOS CAMPOS;5,25;;
2021;13687;35013687;20207;JACAREI;FRANCISCO GOMES DA SILVA PRADO DR;JACAREI;;;1,8
2021;13699;35013699;20206;TAUBATE;JOAQUIM FRANCO DE ALMEIDA CORONEL;JAMBEIRO;;;2,01
2021;13705;35013705;20207;JACAREI;HERMINIA SILVA DE MESQUITA PROFA;JACAREI;;3,17;3,21
2021;13730;35013730;20205;SAO JOSE DOS CAMPOS;ARMANDO D OLIVEIRA COBRA;SAO JOSE DOS CAMPOS;;;2,41
2021;13754;35013754;20205;SAO JOSE DOS CAMPOS;MARIA LUIZA DE GUIMARAES MEDEIROS PROFESSORA;SAO JOSE DOS CAMPOS;;;1,47
2021;13778;35013778;20205;SAO JOSE DOS CAMPOS;WILMA RAGAZZI BOCCARDO PROFESSORA;SAO JOSE DOS CAMPOS;4,85;3,71;
